"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
40585382	1.0	"Reverend Sue"	"ReverendSue"	"Retired Interfaith Minister. Activist. Equality advocate.                         Follow my NEW ACCOUNT: @clarkbreck"	False	"United States"	"39.76"	"-98.5"	"United States"	"2009-05"	7614.0	4284.0	50614.0	787.0	417.0
30005269	0.0	"Ryan Wrasse"	"RWrasse"	"Communications Director for @SenJohnThune | George W. Bush Admin Alumnus | Fan of: Packers, Badgers, Caps | Opinions My Own | #SouthDakota #Wisconsin #Senate"	False	"Capitol Hill"	"15.20825"	"145.75313"	"Northern Mariana Islands"	"2009-04"	1912.0	1240.0	7145.0	127.0	96.0
3314758074	0.0	"Campaign Trump"	"Campaign_Trump"	"#Trump for President. Indp. Local & International Campaign Advisor (Account Mng by multi ppl.) @realDonaldTrump https://t.co/vuI8l94Frq"	False	"Houston, TX"	"29.76328"	"-95.36327"	"United States"	"2015-08"	19474.0	12709.0	1190.0	7212.0	173.0
14311688	0.0	"Bernard Whitman"	"BernardWhitman"	"Democratic strategist, pollster, and corporate branding/communications expert, Author 52 Reasons To Vote For Obama"	False	"New York"	"40.71427"	"-74.00597"	"United States"	"2008-04"	1753.0	1292.0	7342.0	157.0	110.0
110457801	0.0	"Carson Ingle"	"caingle"	"Writer for @AthleteSpeakers & @NOPACTalent. 1080 the Team host. Cover #Magic for @OMagicDaily & @24_7_News. Proud #UCF alum & @OrlandoCitySC supporter."	False	"Orlando aka The City Beautiful"	""	""	""	"2010-02"	1468.0	1188.0	37135.0	3313.0	76.0
269062860	1.0	"Chicago sports, etc"	"ChiTownSports"	"Unconventional & irreverent. Mostly sports but other stuff as well. A diabetic, liberal & biased Cubs fan who roots for the White Sox. #DumpTrump"	False	"Chicago"	"41.85003"	"-87.65005"	"United States"	"2011-03"	15185.0	9333.0	125767.0	87.0	276.0
1656126090	0.0	"Chicks'n'Politics"	"ChicksnPolitics"	"Civically Engaged | Networking | Events | IG: @ChicksnPolitics | FB: Chicks'n'Politics"	False	"Florida"	"28.75054"	"-82.5001"	"United States"	"2013-08"	311.0	476.0	1148.0	446.0	4.0
758669826	1.0	"USU Democrats"	"usudemocrats"	"USU College Democrats–– All Things Democratic at Utah State University #AggieLife #usudems #UniteBlue"	False	"Logan, UT"	"41.73549"	"-111.83439"	"United States"	"2012-08"	415.0	586.0	326.0	46.0	14.0
21056856	1.0	"Socialmarketers"	"socmarketers"	"Do gooder. Founder of 1st Linkedin #socialmarketing group. Former #socialmedia lead @Public_Citizen. Current social entrepreneur. #socent #disruption."	False	"Washington, DC"	"38.89511"	"-77.03637"	"United States"	"2009-02"	4623.0	628.0	1094.0	40.0	60.0
954363313	1.0	"AAPI Democrats SD"	"AAPIDemsSD"	"The AAPI Democratic Club shall advocate for Asian Americans and Pacific Islander Democrats, & to support AAPI Democrats running for offices."	False	"San Diego, California"	"32.71533"	"-117.15726"	"United States"	"2012-11"	121.0	66.0	179.0	68.0	12.0
337284868	1.0	"the real chris beck"	"SubBeck"	"Contributor to https://t.co/phBle7HLHp |ATP-credentialed tennis reporter|49ers forever|Sushi aficionado|Try telling the truth."	False	"Fortified compound, Richmond"	""	""	""	"2011-07"	2500.0	2073.0	88643.0	18455.0	87.0
203541550	1.0	" Stamford Democrats "	"StamfordDems"	"The official page for the Stamford, Connecticut Democratic Party"	False	"Stamford, CT"	"41.05343"	"-73.53873"	"United States"	"2010-10"	519.0	349.0	314.0	0.0	21.0
156333623	1.0	"Congressman Al Green"	"RepAlGreen"	"Proud to represent the Ninth Congressional District of Texas in the United States House of Representatives."	True	"Houston, TX"	"29.76328"	"-95.36327"	"United States"	"2010-06"	9819.0	203.0	534.0	0.0	619.0
587865313	0.0	"Philip Rexing"	"PhilipRexing"	"#Cruz2016 #Christian #Conservative #Constitution #ProLife #1Man1Woman #NRA #ProudAmerican #Israel #CollegeRepublicans #ChiAlpha @MissouriSandT #NuclearEngineer"	False	"McLeansboro, IL"	"38.09338"	"-88.53561"	"United States"	"2012-05"	4418.0	3928.0	7442.0	2788.0	82.0
4750028375	0.0	"Mississippi 4 Trump"	"MSTrump2016"	"Alarmingly patriotic, defender of the Constitution, #1 advocate of political incorrectness, voting for the only man who can bring our country back. #Trump2016"	False	""	""	""	""	"2016-01"	1858.0	2195.0	138.0	165.0	16.0
115703194	0.0	"RichardHanna"	"Hanna4Congress"	"I am a businessman, a husband, a father, and a citizen who wants to give back."	False	"Barneveld, NY"	"43.27229"	"-75.18989"	"United States"	"2010-02"	540.0	103.0	651.0	0.0	61.0
15475471	1.0	"electionU"	"electionU"	"Your voice Your choice, Your counrty"	False	"United States"	"39.76"	"-98.5"	"United States"	"2008-07"	275.0	998.0	21.0	0.0	5.0
2701352961	0.0	"Clint"	"No2Ny4ever"	"#Whodatnation #Saints #Lsu #GeauxTigers #Knicks #NYRangers #Mets #MMA I follow back if we rock the same team or mma.Yea Conor McGregor fan get over it"	False	""	""	""	""	"2014-07"	1065.0	1088.0	21465.0	7396.0	22.0
383978282	1.0	"KU Young Democrats"	"KUYoungDems"	"The official twitter account of the University of Kansas Young Democrats. RT's ≠ endorsement"	False	"Lawrence, KS"	"38.97167"	"-95.23525"	"United States"	"2011-10"	847.0	941.0	1083.0	292.0	14.0
